time_since_cooking_hr,storage_location,storage_container,fat_content,ambient_season,observed_texture,observed_appearance,roti_state
24,Room Temperature,Casserole/Hotpot,Ghee/Oil applied on top,Winter (Cool/Dry),Soft & Pliable,Normal,0
9,Refrigerator,Cloth Wrap,Ghee/Oil applied on top,Monsoon (Humid),Slightly Dry (but foldable),Normal,1
28,Refrigerator,Aluminum Foil,None (plain),Winter (Cool/Dry),Hard/Brittle (cracks when folded),Normal,2
93,Refrigerator,Cloth Wrap,None (plain),Summer (Hot),Hard/Brittle (cracks when folded),Normal,2
4,Room Temperature,Aluminum Foil,None (plain),Monsoon (Humid),Soft & Pliable,Normal,0
90,Refrigerator,Casserole/Hotpot,Ghee/Oil applied on top,Monsoon (Humid),Hard/Brittle (cracks when folded),Normal,2
26,Freezer,Casserole/Hotpot,None (plain),Monsoon (Humid),Soft & Pliable,Normal,0
90,Refrigerator,Casserole/Hotpot,Ghee/Oil applied on top,Monsoon (Humid),Hard/Brittle (cracks when folded),Normal,2
1,Room Temperature,Airtight Container,None (plain),Summer (Hot),Soft & Pliable,Normal,0
68,Refrigerator,Casserole/Hotpot,Ghee/Oil applied on top,Winter (Cool/Dry),Hard/Brittle (cracks when folded),Normal,2
5,Room Temperature,Casserole/Hotpot,Ghee/Oil applied on top,Winter (Cool/Dry),Soft & Pliable,Normal,0
47,Refrigerator,Aluminum Foil,Ghee/Oil applied on top,Winter (Cool/Dry),Hard/Brittle (cracks when folded),Normal,2
31,Room Temperature,Cloth Wrap,Ghee/Oil applied on top,Summer (Hot),Slightly Dry (but foldable),Normal,1
49,Refrigerator,Cloth Wrap,Ghee/Oil applied on top,Monsoon (Humid),Hard/Brittle (cracks when folded),Normal,2
63,Refrigerator,Airtight Container,None (plain),Monsoon (Humid),Hard/Brittle (cracks when folded),Normal,2
7,Room Temperature,Airtight Container,Ghee/Oil applied on top,Summer (Hot),Soft & Pliable,Normal,0
6,Refrigerator,Casserole/Hotpot,Ghee/Oil applied on top,Monsoon (Humid),Soft & Pliable,Normal,0
45,Room Temperature,Casserole/Hotpot,Ghee/Oil applied on top,Monsoon (Humid),Slimy/Sticky,Visible Mold (any color),3
32,Refrigerator,Airtight Container,None (plain),Winter (Cool/Dry),Hard/Brittle (cracks when folded),Normal,2
88,Refrigerator,Cloth Wrap,Ghee/Oil applied on top,Monsoon (Humid),Hard/Brittle (cracks when folded),Normal,2
67,Refrigerator,Casserole/Hotpot,None (plain),Winter (Cool/Dry),Hard/Brittle (cracks when folded),Normal,2
29,Room Temperature,Cloth Wrap,None (plain),Summer (Hot),Slightly Dry (but foldable),Normal,1
67,Refrigerator,Open Plate,Ghee/Oil applied on top,Monsoon (Humid),Hard/Brittle (cracks when folded),Normal,2
61,Refrigerator,Casserole/Hotpot,Ghee/Oil applied on top,Monsoon (Humid),Hard/Brittle (cracks when folded),Normal,2
36,Room Temperature,Cloth Wrap,Ghee/Oil applied on top,Monsoon (Humid),Slightly Dry (but foldable),Normal,1
20,Room Temperature,Cloth Wrap,Ghee/Oil applied on top,Summer (Hot),Soft & Pliable,Normal,0
44,Room Temperature,Aluminum Foil,Ghee/Oil applied on top,Monsoon (Humid),Slightly Dry (but foldable),Normal,1
