Time_since_preparation_hours,Storage_place,Acidity_source,Consistency,Container_type,Smell,Oil_separation,Spoiled_flag
102,Room temperature (≈25°C),Moderate (pH~5.5),Clotted/curdled,Plastic box with lid,Sour fermentation smell,>15%,Yes
86,Room temperature (≈25°C),High (pH~4.5),Clotted/curdled,Open bowl,Sour fermentation smell,None,Yes
1,Room temperature (≈25°C),Moderate (pH~5.5),Normal (smooth),Glass jar sealed,Rancid smell,None,No
57,Covered in container,None,Normal (smooth),Glass jar sealed,Fresh/normal,None,No
91,Covered in container,None,Normal (smooth),Thermal flask,Fresh/normal,None,No
115,Covered in container,None,Clotted/curdled,Open bowl,Strong off-odor,<5%,Yes
3,Insulated container,None,Normal (smooth),Thermal flask,Fresh/normal,None,No
91,Warm environment (≈35°C),Low (pH~6.5),Watery separation,Glass jar sealed,Slight off-smell,Oil film present,Yes
35,Covered in container,High (pH~4.5),Watery separation,Glass jar sealed,Strong off-odor,>15%,Yes
92,Warm environment (≈35°C),High (pH~4.5),Mushy,Metal container,Rancid smell,>15%,Yes
47,Refrigerated (≈4°C),None,Normal (smooth),Open bowl,Strong off-odor,<5%,No
108,Insulated container,High (pH~4.5),Watery separation,Thermal flask,Strong off-odor,>15%,Yes
40,Covered in container,Moderate (pH~5.5),Normal (smooth),Glass jar sealed,Strong off-odor,5-15%,Yes
7,Room temperature (≈25°C),High (pH~4.5),Clotted/curdled,Open bowl,Sour fermentation smell,Oil film present,Yes
4,Insulated container,Low (pH~6.5),Watery separation,Open bowl,Slight off-smell,None,No
32,Warm environment (≈35°C),Moderate (pH~5.5),Watery separation,Metal container,Sour fermentation smell,>15%,Yes
90,Insulated container,None,Clotted/curdled,Glass jar sealed,Fresh/normal,<5%,No
118,Covered in container,Moderate (pH~5.5),Clotted/curdled,Metal container,Strong off-odor,None,Yes
76,Insulated container,High (pH~4.5),Watery separation,Plastic box with lid,Sour fermentation smell,>15%,Yes
100,Insulated container,Moderate (pH~5.5),Clotted/curdled,Plastic box with lid,Strong off-odor,<5%,Yes
58,Covered in container,Low (pH~6.5),Normal (smooth),Open bowl,Fresh/normal,None,No
27,Open air / uncovered,None,Thickened,Thermal flask,Fresh/normal,<5%,No
91,Room temperature (≈25°C),High (pH~4.5),Watery separation,Plastic box with lid,Sour fermentation smell,None,Yes
76,Refrigerated (≈4°C),None,Normal (smooth),Glass jar sealed,Fresh/normal,None,No
50,Warm environment (≈35°C),Moderate (pH~5.5),Thickened,Metal container,Strong off-odor,>15%,Yes
51,Warm environment (≈35°C),High (pH~4.5),Mushy,Glass jar sealed,Strong off-odor,>15%,Yes
112,Covered in container,High (pH~4.5),Watery separation,Glass jar sealed,Rancid smell,>15%,Yes
86,Room temperature (≈25°C),High (pH~4.5),Watery separation,Glass jar sealed,Strong off-odor,>15%,Yes
31,Insulated container,None,Normal (smooth),Thermal flask,Fresh/normal,None,No
37,Open air / uncovered,High (pH~4.5),Clotted/curdled,Metal container,Sour fermentation smell,<5%,Yes
96,Open air / uncovered,High (pH~4.5),Clotted/curdled,Plastic box with lid,Rancid smell,5-15%,Yes
35,Warm environment (≈35°C),High (pH~4.5),Watery separation,Plastic box with lid,Sour fermentation smell,5-15%,Yes
32,Refrigerated (≈4°C),None,Thickened,Plastic box with lid,Fresh/normal,<5%,No
49,Insulated container,Low (pH~6.5),Normal (smooth),Metal container,Fresh/normal,<5%,No
120,Covered in container,Moderate (pH~5.5),Mushy,Open bowl,Rancid smell,>15%,Yes
31,Room temperature (≈25°C),None,Normal (smooth),Metal container,Fresh/normal,5-15%,No
23,Warm environment (≈35°C),High (pH~4.5),Mushy,Plastic box with lid,Rancid smell,Oil film present,Yes
103,Warm environment (≈35°C),None,Thickened,Plastic box with lid,Sour fermentation smell,None,Yes
109,Open air / uncovered,High (pH~4.5),Clotted/curdled,Glass jar sealed,Strong off-odor,Oil film present,Yes
32,Room temperature (≈25°C),None,Normal (smooth),Metal container,Fresh/normal,<5%,No
32,Open air / uncovered,None,Normal (smooth),Metal container,Fresh/normal,None,No
101,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Thermal flask,Fresh/normal,None,No
27,Covered in container,Low (pH~6.5),Normal (smooth),Thermal flask,Fresh/normal,None,No
63,Covered in container,None,Watery separation,Metal container,Strong off-odor,5-15%,No
98,Room temperature (≈25°C),High (pH~4.5),Watery separation,Glass jar sealed,Sour fermentation smell,>15%,Yes
59,Warm environment (≈35°C),None,Normal (smooth),Thermal flask,Slight off-smell,None,No
17,Room temperature (≈25°C),Moderate (pH~5.5),Normal (smooth),Thermal flask,Fresh/normal,None,No
31,Warm environment (≈35°C),None,Normal (smooth),Glass jar sealed,Fresh/normal,None,No
103,Open air / uncovered,High (pH~4.5),Watery separation,Thermal flask,Strong off-odor,Oil film present,Yes
98,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Metal container,Fresh/normal,None,No
19,Covered in container,Low (pH~6.5),Thickened,Plastic box with lid,Slight off-smell,None,No
91,Open air / uncovered,Moderate (pH~5.5),Clotted/curdled,Glass jar sealed,Strong off-odor,5-15%,Yes
61,Refrigerated (≈4°C),None,Normal (smooth),Thermal flask,Fresh/normal,<5%,No
53,Warm environment (≈35°C),Moderate (pH~5.5),Mushy,Thermal flask,Strong off-odor,Oil film present,Yes
102,Room temperature (≈25°C),Low (pH~6.5),Clotted/curdled,Metal container,Sour fermentation smell,>15%,Yes
51,Room temperature (≈25°C),High (pH~4.5),Clotted/curdled,Metal container,Slight off-smell,5-15%,Yes
18,Open air / uncovered,None,Normal (smooth),Thermal flask,Strong off-odor,<5%,No
8,Insulated container,None,Watery separation,Glass jar sealed,Fresh/normal,None,No
117,Warm environment (≈35°C),High (pH~4.5),Watery separation,Open bowl,Rancid smell,Oil film present,Yes
62,Insulated container,High (pH~4.5),Normal (smooth),Open bowl,Sour fermentation smell,5-15%,Yes
85,Open air / uncovered,Low (pH~6.5),Normal (smooth),Open bowl,Slight off-smell,Oil film present,Yes
115,Covered in container,None,Clotted/curdled,Glass jar sealed,Rancid smell,5-15%,Yes
93,Refrigerated (≈4°C),None,Watery separation,Plastic box with lid,Slight off-smell,None,No
9,Room temperature (≈25°C),None,Thickened,Open bowl,Fresh/normal,None,No
23,Room temperature (≈25°C),Moderate (pH~5.5),Thickened,Metal container,Fresh/normal,<5%,No
11,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Thermal flask,Fresh/normal,5-15%,No
66,Covered in container,Low (pH~6.5),Normal (smooth),Thermal flask,Fresh/normal,None,No
45,Insulated container,Low (pH~6.5),Clotted/curdled,Open bowl,Slight off-smell,5-15%,Yes
25,Open air / uncovered,None,Normal (smooth),Open bowl,Fresh/normal,None,No
113,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Thermal flask,Fresh/normal,None,No
9,Covered in container,None,Normal (smooth),Metal container,Fresh/normal,None,No
112,Open air / uncovered,Moderate (pH~5.5),Mushy,Glass jar sealed,Rancid smell,>15%,Yes
12,Open air / uncovered,None,Normal (smooth),Open bowl,Fresh/normal,None,No
88,Room temperature (≈25°C),High (pH~4.5),Watery separation,Glass jar sealed,Fresh/normal,Oil film present,Yes
75,Insulated container,High (pH~4.5),Clotted/curdled,Plastic box with lid,Sour fermentation smell,>15%,Yes
15,Room temperature (≈25°C),None,Normal (smooth),Open bowl,Fresh/normal,<5%,No
22,Covered in container,None,Watery separation,Plastic box with lid,Strong off-odor,Oil film present,No
4,Room temperature (≈25°C),None,Normal (smooth),Thermal flask,Strong off-odor,None,No
57,Insulated container,None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
49,Covered in container,None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
108,Insulated container,High (pH~4.5),Mushy,Plastic box with lid,Rancid smell,Oil film present,Yes
69,Room temperature (≈25°C),Moderate (pH~5.5),Watery separation,Thermal flask,Sour fermentation smell,5-15%,Yes
18,Room temperature (≈25°C),Moderate (pH~5.5),Normal (smooth),Glass jar sealed,Strong off-odor,<5%,Yes
91,Room temperature (≈25°C),High (pH~4.5),Clotted/curdled,Thermal flask,Sour fermentation smell,5-15%,Yes
120,Insulated container,Moderate (pH~5.5),Mushy,Metal container,Strong off-odor,Oil film present,Yes
43,Insulated container,None,Normal (smooth),Plastic box with lid,Fresh/normal,5-15%,No
100,Insulated container,High (pH~4.5),Thickened,Glass jar sealed,Strong off-odor,5-15%,Yes
14,Covered in container,Low (pH~6.5),Normal (smooth),Thermal flask,Slight off-smell,None,No
11,Insulated container,None,Normal (smooth),Thermal flask,Fresh/normal,None,No
91,Open air / uncovered,Moderate (pH~5.5),Watery separation,Glass jar sealed,Strong off-odor,5-15%,Yes
99,Insulated container,Low (pH~6.5),Normal (smooth),Glass jar sealed,Fresh/normal,<5%,No
91,Insulated container,Low (pH~6.5),Thickened,Open bowl,Rancid smell,>15%,Yes
68,Open air / uncovered,Moderate (pH~5.5),Mushy,Metal container,Rancid smell,None,Yes
118,Room temperature (≈25°C),High (pH~4.5),Watery separation,Thermal flask,Rancid smell,5-15%,Yes
25,Room temperature (≈25°C),Moderate (pH~5.5),Thickened,Metal container,Fresh/normal,None,No
98,Insulated container,None,Thickened,Thermal flask,Sour fermentation smell,>15%,Yes
4,Refrigerated (≈4°C),None,Thickened,Glass jar sealed,Slight off-smell,<5%,No
