time_since_cooked_hours,storage_location,acidity_source,consistency,cumulative_time_in_danger_zone_hours,storage_container,observed_odor_score,dal_state
84,Refrigerator,Tomatoes,Medium,3,Airtight,0,1
123,Refrigerator,Tomatoes,Watery (thin),1,Airtight,0,1
26,Refrigerator,Tomatoes,Watery (thin),2,Airtight,0,0
75,Room Temperature,Tomatoes,Watery (thin),75,Airtight,4,3
29,Refrigerator,Tomatoes,Medium,1,Airtight,0,0
54,Refrigerator,Tomatoes,Watery (thin),3,Airtight,0,1
59,Refrigerator,Tomatoes,Medium,1,Airtight,0,0
155,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Watery (thin),2,Covered (not airtight),0,1
106,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Thick (low water),3,Covered (not airtight),0,0
155,Room Temperature,Tomatoes,Medium,155,Covered (not airtight),3,3
9,Refrigerator,Tomatoes,Medium,1,Airtight,0,0
72,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Watery (thin),1,Open to air,0,0
25,Refrigerator,Tomatoes,Medium,2,Open to air,0,0
135,Refrigerator,Tomatoes,Medium,1,Airtight,0,1
44,Room Temperature,None (plain dal),Thick (low water),44,Airtight,4,3
20,Refrigerator,None (plain dal),Thick (low water),2,Airtight,0,0
162,Refrigerator,Tomatoes,Watery (thin),3,Airtight,3,2
13,Refrigerator,None (plain dal),Medium,1,Airtight,0,0
151,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,2,Airtight,0,0
97,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Thick (low water),1,Airtight,0,0
104,Refrigerator,Tomatoes,Thick (low water),1,Airtight,0,0
3,Room Temperature,Tomatoes,Medium,3,Open to air,0,0
79,Refrigerator,Tomatoes,Thick (low water),1,Open to air,0,0
155,Refrigerator,None (plain dal),Thick (low water),4,Covered (not airtight),0,1
100,Refrigerator,Tomatoes,Thick (low water),3,Airtight,0,0
131,Refrigerator,Tomatoes,Watery (thin),1,Airtight,1,1
77,Room Temperature,Tomatoes,Thick (low water),77,Airtight,3,3
114,Refrigerator,None (plain dal),Thick (low water),2,Open to air,0,1
167,Refrigerator,Tomatoes,Thick (low water),2,Airtight,1,1
158,Refrigerator,None (plain dal),Medium,4,Covered (not airtight),3,2
160,Refrigerator,Tomatoes,Medium,1,Airtight,0,1
37,Refrigerator,Tomatoes,Medium,1,Covered (not airtight),0,0
106,Refrigerator,Tomatoes,Watery (thin),1,Airtight,1,1
140,Refrigerator,Tomatoes,Thick (low water),4,Airtight,0,1
35,Refrigerator,None (plain dal),Medium,4,Covered (not airtight),0,1
97,Refrigerator,None (plain dal),Medium,6,Airtight,2,2
87,Room Temperature,Tomatoes,Medium,87,Airtight,3,3
72,Refrigerator,Tomatoes,Medium,1,Airtight,0,0
34,Refrigerator,Tomatoes,Medium,1,Covered (not airtight),0,0
121,Refrigerator,Tomatoes,Medium,2,Airtight,0,1
77,Refrigerator,None (plain dal),Watery (thin),6,Airtight,2,2
119,Refrigerator,Tomatoes,Watery (thin),1,Airtight,0,1
31,Room Temperature,Tamarind/Lemon/Yogurt (High Acidity),Medium,31,Airtight,2,2
158,Refrigerator,None (plain dal),Medium,4,Open to air,3,2
148,Refrigerator,None (plain dal),Watery (thin),3,Airtight,2,2
149,Refrigerator,Tomatoes,Thick (low water),2,Airtight,0,1
89,Room Temperature,Tomatoes,Watery (thin),89,Airtight,3,3
102,Refrigerator,Tomatoes,Thick (low water),3,Open to air,0,0
78,Room Temperature,Tomatoes,Thick (low water),78,Airtight,4,3
34,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Watery (thin),2,Airtight,0,0
88,Refrigerator,None (plain dal),Watery (thin),3,Covered (not airtight),2,1
145,Refrigerator,None (plain dal),Watery (thin),3,Airtight,2,2
140,Refrigerator,Tomatoes,Watery (thin),2,Airtight,0,1
81,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,1,Airtight,0,0
63,Room Temperature,Tomatoes,Medium,63,Covered (not airtight),4,3
1,Room Temperature,Tomatoes,Watery (thin),1,Airtight,0,0
89,Refrigerator,Tomatoes,Medium,2,Open to air,0,1
31,Refrigerator,Tomatoes,Watery (thin),6,Airtight,0,1
71,Refrigerator,Tomatoes,Medium,2,Airtight,0,0
26,Refrigerator,Tomatoes,Medium,6,Airtight,0,1
114,Refrigerator,None (plain dal),Medium,1,Airtight,1,1
113,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Watery (thin),3,Airtight,0,1
15,Refrigerator,Tomatoes,Medium,2,Covered (not airtight),0,0
80,Refrigerator,None (plain dal),Medium,1,Airtight,0,1
75,Refrigerator,None (plain dal),Medium,4,Airtight,1,1
104,Refrigerator,Tomatoes,Medium,4,Airtight,0,1
112,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,1,Covered (not airtight),0,0
117,Refrigerator,Tomatoes,Medium,1,Covered (not airtight),1,1
164,Refrigerator,Tomatoes,Thick (low water),1,Airtight,0,1
8,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,2,Airtight,0,0
62,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Thick (low water),2,Covered (not airtight),0,0
86,Refrigerator,None (plain dal),Medium,3,Covered (not airtight),0,1
82,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,1,Open to air,0,0
29,Refrigerator,Tomatoes,Medium,2,Covered (not airtight),0,0
33,Room Temperature,Tomatoes,Medium,33,Airtight,4,3
66,Refrigerator,None (plain dal),Medium,2,Airtight,2,1
67,Refrigerator,Tomatoes,Thick (low water),1,Airtight,0,0
165,Room Temperature,Tomatoes,Thick (low water),165,Airtight,3,3
96,Refrigerator,Tomatoes,Thick (low water),1,Covered (not airtight),0,0
