food_type,temperature,moisture,gas,time_to_spoil,spoiled
Cooked Rice,37.98849566947786,76.18336855810486,872.888789893095,0,1
Apples,17.842236878226508,81.19193977821097,1279.2795038412114,0,1
Apples,2.776540671836802,87.87740852444232,234.99341201382373,107,0
Sliced Bread,20.419247555110246,53.79847514926106,323.67419876505744,0,1
Chicken (Cooked),3.1693392681377843,69.60815595174266,104.30558071181221,3,0
Potatoes,19.517672366611706,80.85950861061453,409.68829426331496,0,1
Tomatoes,10.03429790478603,92.46120340447871,106.35777485825086,9,0
Potatoes,8.026108231990168,78.36973574600799,89.32455910589738,92,0
Apples,0.9630668324305164,88.11808761343212,150.22206358614199,123,0
Cooked Rice,32.899120590072805,75.95014963040347,871.6207436368404,0,1
Potatoes,8.626774725138837,81.53090854042767,78.4678806827502,116,0
Potatoes,8.149690300323048,83.11869229893567,78.55444249845243,60,0
Cooked Rice,2.521060022048929,74.48859922533173,73.75872020783825,3,0
Apples,0.2024804594473767,86.42392580199092,291.5281572726385,53,0
Tomatoes,10.733851123869465,91.7092701214811,192.1235829933522,10,0
Milk,15.79586596476861,92.67725249138749,1055.9073819189832,0,1
Tomatoes,10.024797368653392,94.60057187952242,124.23824698352327,10,0
Milk,3.8056105235718434,89.16712429463492,113.69187703425612,7,0
Cooked Rice,4.179441408556656,68.25807829560812,96.39435458085343,3,0
Lentils (Cooked),36.9124364284977,73.4897989159551,1051.4995917902816,0,1
Apples,20.015203563199158,88.96035585299563,1545.6970646045152,0,1
Leafy Greens,13.599962319740499,85.46654885854029,1128.7119094948644,0,1
Cooked Rice,37.94022529328899,65.52762000905444,905.2051624471587,0,1
Leafy Greens,2.042256455678097,90.11897935723049,125.96587840074747,5,0
Cooked Rice,33.53712867271862,75.81508644398696,469.62508355513853,0,1
Sliced Bread,18.21832510959952,35.68654560880801,62.94723113353154,5,0
Lentils (Cooked),1.168275744427211,68.47354911576016,51.276484327276656,3,0
Apples,0.07770277533094339,81.43564267539979,169.01001969264036,118,0
Tomatoes,27.7764065501862,91.18973935743949,1492.7478397282025,0,1
Potatoes,8.980073163671028,80.96900884241249,79.40119302116244,62,0
Cooked Rice,36.60602921922039,66.34191494052797,943.438285553961,0,1
Cooked Rice,3.5954710625426594,74.95281360254103,65.58202226040035,3,0
Milk,3.069025734420268,88.26440451627313,58.310240665924155,6,0
Tomatoes,22.728046446477677,94.01009199283892,1303.4619452530796,0,1
Chicken (Cooked),3.5384725727083537,69.51183644539614,148.6851925429225,3,0
Tomatoes,11.635772932851975,90.00304634175312,171.72937879029388,7,0
Potatoes,9.278412779828294,83.55326398267599,44.50189209814765,62,0
Tomatoes,22.89441853289191,92.95586457261568,650.2816364084167,0,1
